time;CH1;CH2
-0.044;14.2;2.16
-0.0436;14.2;2.24
-0.0432;14.2;2.16
-0.0428;14.2;2.16
-0.0424;14.2;2.16
-0.042;14.2;2.16
-0.0416;14.2;2.16
-0.0412;14.2;2.24
-0.0408;14.2;2.16
-0.0404;14.2;2.16
-0.04;14.2;2.24
-0.0396;14.2;2.16
-0.0392;14.2;2.16
-0.0388;14.2;2.16
-0.0384;14.2;2.16
-0.038;14.2;2.16
-0.0376;14.2;2.16
-0.0372;14.2;2.16
-0.0368;14.2;2.16
-0.0364;14.4;2.24
-0.036;14.2;2.16
-0.0356;14.2;2.16
-0.0352;14.2;2.24
-0.0348;14.2;2.16
-0.0344;14.2;2.16
-0.034;14.2;2.16
-0.0336;14.2;2.16
-0.0332;14.2;2.24
-0.0328;14.2;2.16
-0.0324;14.4;2.16
-0.032;14.2;2.24
-0.0316;14.4;2.16
-0.0312;14.2;2.16
-0.0308;14.2;2.16
-0.0304;14.2;2.16
-0.03;14.2;2.16
-0.0296;14.2;2.16
-0.0292;14.2;2.16
-0.0288;14.2;2.16
-0.0284;14.2;2.16
-0.028;14.4;2.16
-0.0276;14.4;2.24
-0.0272;14.2;2.16
-0.0268;14.2;2.16
-0.0264;14.2;2.16
-0.026;14.2;2.16
-0.0256;14.2;2.16
-0.0252;14.2;2.16
-0.0248;14.4;2.16
-0.0244;14.2;2.16
-0.024;14.2;2.16
-0.0236;14.2;2.16
-0.0232;14.2;2.16
-0.0228;14.4;2.16
-0.0224;14.4;2.16
-0.022;14.2;2.16
-0.0216;14.2;2.16
-0.0212;14.2;2.16
-0.0208;14.2;2.08
-0.0204;14.2;2.16
-0.02;14.2;2.16
-0.0196;14.2;2.24
-0.0192;14.2;2.16
-0.0188;14.2;2.16
-0.0184;14.2;2.16
-0.018;14.2;2.16
-0.0176;14.2;2.16
-0.0172;14.2;2.16
-0.0168;14.2;2.16
-0.0164;14.2;2.16
-0.016;14.2;2.24
-0.0156;14.2;2.16
-0.0152;14.2;2.16
-0.0148;14.2;2.16
-0.0144;14.2;2.16
-0.014;14.2;2.16
-0.0136;14.2;2.16
-0.0132;14.2;2.16
-0.0128;14.2;2.08
-0.0124;14.2;2.16
-0.012;14.2;2.16
-0.0116;14.2;2.16
-0.0112;14.4;2.16
-0.0108;14.2;2.16
-0.0104;14.4;2.16
-0.01;14.2;2.16
-0.0096;14.2;2.16
-0.0092;14.2;2.16
-0.0088;14.2;2.16
-0.0084;14.2;2.16
-0.008;14.2;2.16
-0.0076;14.2;2.16
-0.0072;14.2;2.16
-0.0068;14.2;2.16
-0.0064;14.2;2.16
-0.006;14.2;2.16
-0.0056;14.2;2.16
-0.0052;14.2;2.16
-0.0048;14.2;2.16
-0.0044;14.2;2.16
-0.004;14.2;2.24
-0.0036;14.2;2.16
-0.0032;14.2;2.16
-0.0028;14.2;2.16
-0.0024;14.2;2.16
-0.002;14.2;2.24
-0.0016;13.6;2.32
-0.0012;11.6;2.24
-0.0008;9.4;1.92
-0.0004;7.4;1.76
6.9388939039072284e-18;5.6;1.6
0.0004;4.2;0.8
0.0008;3.2;-2.72
0.0012;2.4;-7.52
0.0016;1.8;-8.8
0.002;1.2;-8.72
0.0024;0.8;-8.4
0.0028;0.8;-8.08
0.0032;0.4;-7.76
0.0036;0.4;-7.36
0.004;0.2;-7.12
0.0044;0.2;-6.8
0.0048;0.2;-6.48
0.0052;0;-6.16
0.0056;0;-5.92
0.006;0.2;-5.6
0.0064;0;-5.44
0.0068;0.2;-5.12
0.0072;0;-4.96
0.0076;0;-4.72
0.008;0.2;-4.48
0.0084;0;-4.32
0.0088;0.2;-4.08
0.0092;0;-4
0.0096;0;-3.76
0.01;0.2;-3.6
0.0104;0;-3.44
0.0108;0;-3.36
0.0112;0;-3.2
0.0116;0.2;-3.12
0.012;0.2;-2.96
0.0124;0;-2.88
0.0128;0;-2.8
0.0132;0;-2.72
0.0136;0.2;-2.64
0.014;0.2;-2.64
0.0144;0.2;-2.48
0.0148;0.2;-2.48
0.0152;0.2;-2.48
0.0156;0.2;-2.4
0.016;0.2;-2.4
0.0164;0;-2.32
0.0168;0.2;-2.24
0.0172;0.2;-2.24
0.0176;0.2;-2.24
0.018;0.2;-2.16
0.0184;0.2;-2.16
0.0188;0.2;-2.16
0.0192;0.2;-2.16
0.0196;0.2;-2.16
0.02;0.2;-2.08
0.0204;0.4;-2.08
0.0208;0.2;-2.08
