time (sec),channel CH1 (V),channel CH2 (V)
4.173,9.6,-6.72
4.1731,9.6,-6.72
4.1732,9.6,-6.72
4.1733,9.6,-6.72
4.1734,9.68,-6.72
4.1735,9.6,-6.72
4.1736,9.6,-6.72
4.1737,9.6,-6.72
4.1738,9.68,-6.72
4.1739,9.6,-6.72
4.174,9.6,-6.72
4.1741,9.68,-6.72
4.1742,9.68,-6.72
4.1743,9.6,-6.72
4.1744,9.68,-6.72
4.1745,9.68,-6.72
4.1746,9.6,-6.72
4.1747,9.6,-6.72
4.1748,9.68,-6.72
4.1749,9.6,-6.72
4.175,9.68,-6.72
4.1751,9.6,-6.72
4.1752,9.6,-6.72
4.1753,9.68,-6.72
4.1754,9.68,-6.72
4.1755,9.68,-6.72
4.1756,9.68,-6.72
4.1757,9.68,-6.72
4.1758,9.68,-6.72
4.1759,9.68,-6.72
4.176,9.68,-6.72
4.1761,9.6,-6.72
4.1762,9.68,-6.72
4.1763,9.68,-6.72
4.1764,9.68,-6.72
4.1765,9.68,-6.72
4.1766,9.68,-6.72
4.1767,9.76,-6.72
4.1768,9.68,-6.72
4.1769,9.68,-6.72
4.177,9.68,-6.72
4.1771,9.68,-6.72
4.1772,9.76,-6.72
4.1773,9.68,-6.72
4.1774,9.76,-6.72
4.1775,9.76,-6.72
4.1776,9.76,-6.72
4.1777,9.68,-6.72
4.1778,9.76,-6.72
4.1779,9.68,-6.72
4.178,9.76,-6.72
4.1781,9.76,-6.72
4.1782,9.76,-6.72
4.1783,9.76,-6.72
4.1784,9.76,-6.72
4.1785,9.76,-6.72
4.1786,9.76,-6.72
4.1787,9.76,-6.72
4.1788,9.76,-6.72
4.1789,9.76,-6.72
4.179,9.76,-6.72
4.1791,9.76,-6.72
4.1792,9.76,-6.72
4.1793,9.76,-6.72
4.1794,9.76,-6.72
4.1795,9.76,-6.72
4.1796,9.76,-6.72
4.1797,9.76,-6.72
4.1798,9.76,-6.72
4.1799,9.76,-6.72
4.18,9.76,-6.72
4.1801,9.76,-6.72
4.1802,9.76,-6.72
4.1803,9.76,-6.72
4.1804,9.76,-6.72
4.1805,9.76,-6.72
4.1806,9.76,-6.72
4.1807,9.76,-6.72
4.1808,9.76,-6.72
4.1809,9.84,-6.72
4.181,9.76,-6.72
4.1811,9.84,-6.72
4.1812,9.76,-6.72
4.1813,9.84,-6.72
4.1814,9.84,-6.72
4.1815,9.76,-6.72
4.1816,9.84,-6.72
4.1817,9.84,-6.72
4.1818,9.84,-6.72
4.1819,9.84,-6.72
4.182,9.84,-6.72
4.1821,9.84,-6.72
4.1822,9.84,-6.72
4.1823,9.76,-6.72
4.1824,9.84,-6.72
4.1825,9.76,-6.72
4.1826,9.84,-6.72
4.1827,9.84,-6.72
4.1828,9.84,-6.72
4.1829,9.84,-6.72
4.183,9.84,-6.72
4.1831,9.84,-6.72
4.1832,9.84,-6.72
4.1833,9.84,-6.72
4.1834,9.84,-6.72
4.1835,9.84,-6.72
4.1836,9.84,-6.72
4.1837,9.84,-6.72
4.1838,9.84,-6.72
4.1839,9.84,-6.72
4.184,9.84,-6.72
4.1841,9.92,-6.72
4.1842,9.92,-6.72
4.1843,9.84,-6.72
4.1844,9.92,-6.72
4.1845,9.84,-6.72
4.1846,9.84,-6.72
4.1847,9.92,-6.72
4.1848,9.92,-6.72
4.1849,9.84,-6.72
4.185,9.92,-6.72
4.1851,9.92,-6.72
4.1852,9.84,-6.72
4.1853,9.84,-6.72
4.1854,9.92,-6.72
4.1855,9.92,-6.72
4.1856,9.84,-6.72
4.1857,9.92,-6.72
4.1858,9.92,-6.72
4.1859,9.92,-6.72
4.186,9.92,-6.72
4.1861,9.92,-6.72
4.1862,9.92,-6.72
4.1863,9.92,-6.72
4.1864,9.92,-6.72
4.1865,9.92,-6.72
4.1866,9.92,-6.72
4.1867,9.92,-6.72
4.1868,9.92,-6.72
4.1869,9.92,-6.72
4.187,9.92,-6.72
4.1871,9.92,-6.72
4.1872,9.92,-6.72
4.1873,9.92,-6.72
4.1874,9.92,-6.72
4.1875,9.92,-6.72
4.1876,9.92,-6.72
4.1877,10,-6.72
4.1878,9.92,-6.72
4.1879,9.92,-6.72
4.188,9.92,-6.72
4.1881,9.92,-6.72
4.1882,9.92,-6.72
4.1883,9.92,-6.72
4.1884,10,-6.72
4.1885,9.92,-6.72
4.1886,9.92,-6.72
4.1887,9.92,-6.72
4.1888,10,-6.72
4.1889,9.92,-6.72
4.189,10,-6.72
4.1891,10,-6.72
4.1892,9.92,-6.72
4.1893,10,-6.72
4.1894,10,-6.72
4.1895,10,-6.72
4.1896,10,-6.72
4.1897,9.92,-6.72
4.1898,10,-6.72
4.1899,10,-6.72
4.19,9.92,-6.72
4.1901,10,-6.72
4.1902,10,-6.72
4.1903,10,-6.72
4.1904,10,-6.72
4.1905,10,-6.72
4.1906,10,-6.72
4.1907,10,-6.72
4.1908,10,-6.72
4.1909,10,-6.72
4.191,10.08,-6.72
4.1911,10,-6.72
4.1912,10,-6.72
4.1913,10.08,-6.72
4.1914,10,-6.72
4.1915,10,-6.72
4.1916,10.08,-6.72
4.1917,10,-6.72
4.1918,10,-6.72
4.1919,10.08,-6.72
4.192,10,-6.72
4.1921,10,-6.72
4.1922,10.08,-6.72
4.1923,10,-6.72
4.1924,10.08,-6.72
4.1925,10.08,-6.72
4.1926,10.08,-6.72
4.1927,10.08,-6.72
4.1928,10,-6.72
4.1929,10.08,-6.72
4.193,10,-6.72
4.1931,10,-6.72
4.1932,10.08,-6.72
4.1933,10.08,-6.72
4.1934,10,-6.72
4.1935,10.08,-6.72
4.1936,10.08,-6.72
4.1937,10.08,-6.72
4.1938,10.08,-6.72
